TCP_name_heading,entity_type,entity_title,wiki_entity_id,description,what,aliases,Library of Congress authority ID,VIAF cluster ID,Oxford Dictionary of National Biography ID,Encyclopædia Britannica Online ID,writing language,date of birth,date of death,manner of death,cause of death,country of citizenship,occupation,student of,position held,field of work,religion or worldview,sex or gender,educated at,diocese,described by source,Oxford DNB Link
"Benedict Riveley, 1627 or 8-1695",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Benedictus van Haeften, 1588-1648",PERSON,Benedictus van Haeften,Q4887369,Provost of Affligem Abbey and writer of religious works,human,"['Benedictus van Haeften, O.S.B.']",n84115291,67357575,,,,+1588-01-01T00:00:00Z,+1648-07-31T00:00:00Z,,,,"['theologian (Q1234713)', 'religious (Q2566598)', 'priest (Q42603)', 'provost (Q756215)']",,provost (Q756215),theology (Q34178),,male (Q6581097),,,,
"Benjamin Baxter, Preacher of the Gospel",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Benjamin Bourne, active 1646",PERSON,Benjamin Bourne,Q817423,American politician (1755-1808),human,,n84024115,315533247,,,,+1755-09-09T00:00:00Z,+1808-09-17T00:00:00Z,,,United States (Q30),"['politician (Q82955)', 'lawyer (Q40348)', 'judge (Q16533)']",,"['member of the United States House of Representatives (Q13218630)', 'member of the Rhode Island House of Representatives (Q20058759)']",,,male (Q6581097),"['Harvard University (Q13371)', 'Harvard College (Q49123)']",,"['A New Nation Votes: American Electoral Returns, 1788-1825 (Q104218168)', ""Appletons' Cyclopædia of American Biography (Q12912667)""]",
"Benjamin Calamy, 1642-1686",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Benjamin Camfield, 1638-1693",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Benjamin Carier, 1566-1614",PERSON,Benjamin Carier,Q4888375,English priest,human,,n85056997,44647745,4663.0,,,+1566-01-01T00:00:00Z,+1614-01-01T00:00:00Z,,,,,,,,Anglicanism (Q6423963),male (Q6581097),Corpus Christi College (Q536282),,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Carier,_Benjamin"
"Benjamin Furly, 1636-1714",PERSON,Benjamin Furly,Q2896086,English merchant and religious writer (1636-1714),human,,n85086620,11274462,10248.0,,English (Q1860),"['+1636-04-13T00:00:00Z', '+1636-01-01T00:00:00Z']","['+1714-03-00T00:00:00Z', '+1714-01-01T00:00:00Z']",,,Kingdom of Great Britain (Q161885),"['merchant (Q215536)', 'writer (Q36180)']",,,,,male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Furly,_Benjamin"
"Benjamin Keach, 1640-1704",PERSON,Benjamin Keach,Q13581564,British writer and theologian,human,,n84212539,822230,15202.0,,,+1640-02-29T00:00:00Z,+1704-06-18T00:00:00Z,,,,"['theologian (Q1234713)', 'hymnwriter (Q13424456)']",,,,Baptists (Q93191),male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Keach,_Benjamin"
"Benjamin Laney, 1591-1675",PERSON,Benjamin Lany,Q4888948,British bishop,human,,n83124561,54494609,16003.0,,,+1591-01-01T00:00:00Z,+1675-01-01T00:00:00Z,,,United Kingdom (Q145),Anglican priest (Q3409375),,"['Bishop of Peterborough (Q1649070)', 'Anglican bishop of Lincoln (Q1837214)', 'Anglican Bishop of Ely (Q461013)']",,Anglicanism (Q6423963),male (Q6581097),Christ's College (Q714717),Anglican Diocese of Ely (Q868644),"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Benjamin Smith, 1642 or 3-1714",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Benjamin Spencer, born 1595?",PERSON,Benjamin T. Spencer,Q16013751,American literary critic,human,,,,,,,+1904-01-01T00:00:00Z,+1996-01-01T00:00:00Z,,,United States (Q30),"['literary critic (Q4263842)', 'journalist (Q1930187)']",,,,,male (Q6581097),Kentucky Wesleyan College (Q1739079),,,
"Benjamin Tompson, 1642-1714",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Benjamin Whichcote, 1609-1683",PERSON,Benjamin Whichcote,Q1436859,English theologian,human,,n50019042,59179724,29202.0,biography/Benjamin-Whichcote,,+1609-03-00T00:00:00Z,+1683-05-00T00:00:00Z,,,Kingdom of England (Q179876),"['philosopher (Q4964182)', 'theologian (Q1234713)', 'writer (Q36180)']",Anthony Tuckney (Q4773619),vice-chancellor (Q12416358),,Anglicanism (Q6423963),male (Q6581097),Emmanuel College (Q797892),,"['Dictionary of National Biography, 1885–1900 (Q15987216)', ""Library of the World's Best Literature (Q19098835)"", 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Bernard Bernard, James",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernard Bernard, John",PERSON,Bernard Bernard,Q822307,"French Catholic priest, missionary in Iceland, Prefect Apostolic of Norway and Lapland (1821-1895)",human,,,,,,,+1821-07-21T00:00:00Z,+1895-10-28T00:00:00Z,,,France (Q142),"['theologian (Q1234713)', 'Catholic priest (Q250867)', 'missionary (Q219477)', 'apostolic prefect (Q108800792)']",,"['apostolic prefect (Q108800792)', 'apostolic prefect (Q108800792)']",,Catholic Church (Q9592),male (Q6581097),,,,
"Bernard Lamy, 1640-1715",PERSON,Bernard Lamy,Q277219,French mathematician and theologian,human,,n85206260,39404856,,,,+1640-06-15T00:00:00Z,+1715-01-29T00:00:00Z,,,France (Q142),"['mathematician (Q170790)', 'theologian (Q1234713)', 'physicist (Q169470)']",,,,Catholic Church (Q9592),male (Q6581097),"['Collège des Oratoriens du Mans (Q2983821)', 'Couvent Notre-Dame des Ardilliers (Q3001614)']",,"['BEIC Digital Library (Q51955019)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'The Catholic Encyclopedia (Q302556)', 'Dictionnaire de la Bible (Q122809699)']",
"Berrie Berrie, J",PERSON,J (musician),Q1049686,Japanese musician and singer-songwriter (born 1970),human,"['Jun Onose', 'The Scarab', 'Ozone', 'Kontan', 'Airbase', 'J.L.N.D', 'Jezper Joakim Söderlund', 'Loken', 'Inner State', 'J.E.Z.P.', 'Crimton', 'Rah', 'Jezper Söderlund', 'Narthex', 'One Man Army', 'Parc']",,251565142,,,,+1970-08-12T00:00:00Z,,,,Japan (Q17),"['musician (Q639669)', 'singer-songwriter (Q488205)']",,,,,male (Q6581097),,,,
"Bettie Bettie, W",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bezaleel Carter, died 1629",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bèze, Théodore de Bèze, Théodore de, 1519",PERSON,Theodore Beza,Q314981,"French Reformed Protestant theologian, reformer and scholar (1519-1605)",human,"['Théodore de Bèze', 'Theodore de Beze', 'Theodore of Beza']",n50011153,66463755,,biography/Theodore-Beza,"['Middle French (Q1473289)', 'Latin (Q397)']",+1519-06-24T00:00:00Z,+1605-10-13T00:00:00Z,,,"['France (Q142)', 'Republic of Geneva (Q23366230)', 'Switzerland (Q39)']","['theologian (Q1234713)', 'translator (Q333634)', 'writer (Q36180)', 'university teacher (Q1622272)', 'playwright (Q214917)', 'Bible translator (Q24262584)', 'hymnwriter (Q13424456)', 'poet (Q49757)', 'historian (Q201788)', 'Protestant reformer (Q763779)', 'pastor (Q152002)', 'secondary school teacher (Q5758653)']",Melchior Volmar (Q834727),,"['theology (Q34178)', 'history (Q309)', 'poetry (Q482)']",Protestantism (Q23540),male (Q6581097),"['Old University of Orléans (Q23197733)', 'University of Orléans (Q13334)']",,"['Svensk uppslagsbok (Q1766280)', 'Great Soviet Encyclopedia (1969–1978) (Q17378135)', 'Great Soviet Encyclopedia (1926–1947) (Q20078554)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Orthodox Theological Encyclopedia (Q19211082)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Poets Laureate in the Holy Roman Empire: a Bio-bibliographical Handbook (Q107434660)', 'Dictionnaire de la Bible (Q122809699)']",
"Bédé de la Gormandière Bédé de la Gormandière, Jean",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Binckes Binckes, Joseph",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Birchall Birchall, John",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bishop of Carthage Cyprian, Saint, attributed name",PERSON,Cyprian,Q190240,Bishop of Carthage and Christian writer (c.210-258),human,"['Cyprianus Carthaginiensis', 'Saint Cyprian', 'Cyprian of Carthage', 'St. Cyprian']",n80002958,100179090,,biography/Saint-Cyprian-Christian-bishop,Latin (Q397),+0200-00-00T00:00:00Z,"['+0258-09-14T00:00:00Z', '+0258-00-00T00:00:00Z']",capital punishment (Q8454),decapitation (Q204933),Ancient Rome (Q1747689),"['writer (Q36180)', 'philosopher (Q4964182)', 'Catholic bishop (Q611644)', 'Catholic priest (Q250867)']",,bishop of Carthage (Q132744592),,Christianity (Q5043),male (Q6581097),,,"['Nordisk familjebok (Q678259)', 'De viris illustribus (Q929625)', 'Pauly–Wissowa (Q1138524)', 'Dictionary of African Biography (Q46002746)', 'BEIC Digital Library (Q51955019)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'The Nuttall Encyclopædia (Q3181656)', 'Meyers Konversations-Lexikon, 4th edition (1885–1890) (Q19219752)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Bishop of Hippo Augustine, Saint, attributed name",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bishop of Milan Ambrose, Saint, died 397",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Blaise Pascal, 1623-1662",PERSON,Blaise Pascal,Q1290,"French mathematician, physicist, inventor, writer, and Christian philosopher (1623-1662)",human,"['Pascal', 'Louis de Montalte', 'Amos Dettonville', 'Dettonville', 'Paskal Blez']",n79084279,29538862,,biography/Blaise-Pascal,French (Q150),+1623-06-19T00:00:00Z,+1662-08-19T00:00:00Z,natural causes (Q3739104),,Kingdom of France (Q70972),"['mathematician (Q170790)', 'philosopher (Q4964182)', 'theologian (Q1234713)', 'physicist (Q169470)', 'writer (Q36180)', 'French moralist (Q1297719)', 'statistician (Q2732142)']",,,"['probability theory (Q5862903)', 'mathematics (Q395)', 'literature (Q8242)', 'physics (Q413)']",Catholicism (Q1841),male (Q6581097),,,"['Larousse Encyclopedia online (Q17329836)', 'Concise Literary Encyclopedia (Q4239850)', 'Literary Encyclopedia 1929—1939 (Q4263804)', 'Great Soviet Encyclopedia (1969–1978) (Q17378135)', ""Otto's encyclopedia (Q2041543)"", 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'BEIC Digital Library (Q51955019)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'The Nuttall Encyclopædia (Q3181656)', ""Library of the World's Best Literature (Q19098835)"", 'Encyclopædia Britannica 11th edition (Q867541)', 'The Catholic Encyclopedia (Q302556)', 'Physicists: Biographical Dictionary (Q126178049)']",
"Blaise de Vigenère, 1523-1596",PERSON,Blaise de Vigenère,Q262880,French cryptographer (1523-1596),human,['Blaise de Vigenere'],n83048127,24609043,,,,+1523-04-05T00:00:00Z,+1596-02-19T00:00:00Z,natural causes (Q3739104),esophageal cancer (Q372701),France (Q142),"['cryptographer (Q15442776)', 'mathematician (Q170790)', 'diplomat (Q193391)', 'writer (Q36180)', 'alchemist (Q15954519)', 'poet (Q49757)']",,,diplomat (Q193391),,male (Q6581097),,,"[None, 'Proceedings of the American Philosophical Society (Q6087079)']",
"Bland Bland, Francis",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Blechynden Blechynden, Thomas",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Boatman Boatman, Mr",PERSON,Peter Boatman,Q7172868,police officer,human,['Peter Ryan Boatman'],,,,,,+1953-00-00T00:00:00Z,+2010-01-01T00:00:00Z,,,United Kingdom (Q145),police officer (Q384593),,,,,male (Q6581097),,,,
"Boisrobert, sieur de (François Le Métel) Boisrobert, sieur de (François Le Métel), 1592",PERSON,François le Métel de Boisrobert,Q560292,"French poet, playwright, and courtier (1592-1662)",human,['The Abbé Boisrobert'],n85112067,29565090,,biography/Francois-Le-Metel-seigneur-de-Boisrobert,French (Q150),+1592-08-01T00:00:00Z,+1662-03-30T00:00:00Z,,,Kingdom of France (Q70972),"['poet (Q49757)', 'playwright (Q214917)', 'writer (Q36180)', 'politician (Q82955)']",,"['seat 6 of the Académie française (Q70495948)', 'abbot (Q103163)']","['politics (Q7163)', 'drama (Q25372)', 'poetry (Q482)']",Catholicism (Q1841),male (Q6581097),,,"['Svensk uppslagsbok (Q1766280)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Bold Bold, William",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonnecorse, Monsieur de (Balthasar) Bonnecorse, Monsieur de (Balthasar), died 1706",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Boothby Boothby, Richard",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Boursault, M. (Edme) Boursault, M. (Edme), 1638",PERSON,Edmé Boursault,Q3047696,French writer,human,['Edme Boursault'],n79145884,36915259,,biography/Edme-Boursault,French (Q150),+1638-10-06T00:00:00Z,+1701-09-15T00:00:00Z,,,France (Q142),"['writer (Q36180)', 'playwright (Q214917)', 'novelist (Q6625963)', 'poet (Q49757)']",,,,,male (Q6581097),,,"['Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Bowman Bowman, Francis",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bradwell Bradwell, Stephen",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Brayne Brayne, John",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Brémond Brémond, Gabriel de",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bréval, Monsieur de (François Durant) Bréval, Monsieur de (François Durant), died 1707",PERSON,Bréval,Q244508,"commune in Yvelines, France",commune of France,,,,,,,,,,,,,,,,,,,,,
"Brian Duppa, 1588-1662",PERSON,Brian Duppa,Q4963639,English bishop,human,,n84107689,33200763,8303.0,,,+1588-01-01T00:00:00Z,+1662-01-01T00:00:00Z,,,Kingdom of England (Q179876),Anglican priest (Q3409375),,"['Anglican Bishop of Winchester (Q1271558)', 'Bishop of Chichester (Q458461)', 'Bishop of Salisbury (Q1636762)', 'Dean of Christ Church (Q5246602)']",,Church of England (Q82708),male (Q6581097),"['Christ Church (Q745967)', 'Westminster School (Q1341516)']",Diocese of Winchester (Q3300687),"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Men of Kent and Kentishmen (Q101589898)']",
"Brian Walton, 1600-1661",PERSON,Brian Walton (bishop),Q913203,British bishop,human,,n85143069,9880435,28648.0,,,+1600-01-01T00:00:00Z,+1661-11-29T00:00:00Z,,,United Kingdom of Great Britain and Ireland (Q174193),"['theologian (Q1234713)', 'writer (Q36180)', 'presbyter (Q831474)']",,Bishop of Chester (Q1837071),,Protestantism (Q23540),male (Q6581097),"['Peterhouse (Q650068)', 'Magdalene College (Q776807)', 'Royal Grammar School (Q7374234)']",,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Jewish Encyclopedia of Brockhaus and Efron (Q4173137)', 'BEIC Digital Library (Q51955019)', ""Library of the World's Best Literature (Q19098835)"", 'The Catholic Encyclopedia (Q302556)', 'Dictionnaire de la Bible (Q122809699)']",
"Bridges Bushell, died 1657",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Britannicus Britannicus, Mercurius",PERSON,Saint Mercurius,Q1285323,Greek soldier and Christian martyr (died 250),human,['Mercurius of Caesarea'],nr99008697,206021770,,,,+0224-01-01T00:00:00Z,+0250-01-01T00:00:00Z,,decapitation (Q204933),Ancient Rome (Q1747689),military personnel (Q47064),,,,,male (Q6581097),,,,
"Brokett Brokett, John",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Broughton Broughton, Richard",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Brouncker Brouncker, Edward",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Browne Browne, Edward",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Browne Browne, Gregory",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bruno Ryves, 1596-1677",PERSON,Bruno Ryves,Q4979384,English priest,human,,n85311830,56620063,24431.0,,,+1596-01-01T00:00:00Z,+1677-01-01T00:00:00Z,,,,clergyman (Q3315492),,"['Dean of Chichester (Q11722486)', 'Dean of Windsor (Q5246674)']",,Anglicanism (Q6423963),male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Ryves,_Bruno"
"Bruyn Bruyn, Ambrosius de",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bryan Turner, 1634 or 5-1698",PERSON,Bryan Turner (businessman),Q96374050,Canadian–American entertainment executive and entrepreneur,human,,,,,,,,,,,,"['film producer (Q3282637)', 'music executive (Q3089940)', 'businessperson (Q43845)']",,,,,male (Q6581097),,,,
"Buck Buck, James",PERSON,James Taylor,Q310300,American singer and guitarist,human,['James Vernon Taylor'],nr89010658,35352272,,biography/James-Taylor,,+1948-03-12T00:00:00Z,,,,"['United States (Q30)', 'United Kingdom (Q145)']","['singer-songwriter (Q488205)', 'writer (Q36180)', 'guitarist (Q855091)', 'recording artist (Q55960555)', 'singer (Q177220)', 'songwriter (Q753110)', 'composer (Q36834)']",,,,,male (Q6581097),"['Milton Academy (Q6860967)', 'Chapel Hill High School (Q5073011)']",,,
"Buggs Buggs, Samuel",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bulstrode Whitlocke, 1605-1675 or 6",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bulwarde Bulwarde, Robert",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Bunworth Bunworth, Richard",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Burdet Burdet, John",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Butterfield Butterfield, Robert",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
C. G. (Charles Gerbier),PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
C. N. (Christopher Newstead),PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Caddell Caddell, Peter",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Caesar Caesar, Julius",PERSON,Julius Caesar,Q1048,Roman general and dictator,human,['Divine Julius'],n79021400,"['286265178', '3886159477573127990003', '96230682', '100183222']",48304.0,biography/Julius-Caesar-Roman-ruler,Latin (Q397),"['-0100-07-12T00:00:00Z', '-0100-07-13T00:00:00Z', '-0102-00-00T00:00:00Z', '-0100-00-00T00:00:00Z']","['-0044-03-15T00:00:00Z', '-0044-00-00T00:00:00Z']",homicide (Q149086),bleeding (Q166019),Ancient Rome (Q1747689),"['orator (Q12859263)', 'memoirist (Q11774156)', 'ruler (Q1097498)', 'historian (Q201788)', 'poet (Q49757)', 'ancient Roman priest (Q3409374)', 'politician (Q82955)', 'military personnel (Q47064)', 'military leader (Q1402561)', 'writer (Q36180)']",,"['Roman dictator (Q236885)', 'quaestor (Q189430)', 'curule aedile (Q5413489)', 'ancient Roman senator (Q20056508)', 'Roman consul (Q40779)', 'Roman consul (Q40779)', 'Roman consul (Q40779)', 'Roman consul (Q40779)', 'Roman consul (Q40779)', 'Flamen Dialis (Q1426927)', 'pontifex (Q952844)', 'pontifex maximus (Q212943)', 'Roman governor (Q1190123)', 'Roman governor (Q1190123)', 'praetor (Q172907)', 'moneyer (Q1861571)']",,ancient Roman religion (Q337547),male (Q6581097),,,"['Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Jewish Encyclopedia of Brockhaus and Efron (Q4173137)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Parallel Lives (Q842337)', ""Russian translation of Lübker's Antiquity Lexicon (Q30059240)"", 'Pauly–Wissowa (Q1138524)', 'Caesar in Gaul: New Perspectives on the Archaeology of Mass Violence (Q46997079)', 'Dictionary of African Biography (Q46002746)', 'BEIC Digital Library (Q51955019)', 'The Nuttall Encyclopædia (Q3181656)', 'Metropolitan Museum of Art Tagging Vocabulary (Q106727050)', ""Library of the World's Best Literature (Q19098835)"", 'Pavlenkov Encyclopedic Dictionary (Q106323898)', 'Granat Encyclopedic Dictionary (Q4532138)', 'New International Encyclopedia (Q1029706)']",
"Caleb Pusey, 1650?-1727",PERSON,Caleb Pusey House,Q5019278,second oldest English house in Pennsylvania open to the public,house,,,,,,,,,,,,,,,,,,,,,
"Caleb Trenchfield, 1624 or 5-1671",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Callières, Monsieur de (François de) Callières, Monsieur de (François de), 1645",PERSON,Louis-Hector de Callière,Q3129301,Governor of New France (1648-1703),human,"['Louis-Hector de Calliere', 'Louis Hector CALLIERES Chevalier de BONNEVUE']",,106357857,,,,+1648-11-12T00:00:00Z,+1703-05-26T00:00:00Z,,,France (Q142),"['colonial administrator (Q17765219)', 'military personnel (Q47064)']",,"['Governor of Montreal (Q1840539)', 'Governor of New France (Q833211)']",,Catholic Church (Q9592),male (Q6581097),,,Appletons' Cyclopædia of American Biography (Q12912667),
"Cambrensis Giraldus, 1146?-1223?",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Camel Camel, Thomas",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Camões, Luís de Camões, Luís de, 1524",PERSON,Luís de Camões,Q590,16th-century Portuguese poet,human,"['Luis de Camoens', 'Camoens', 'Camões', 'Camoëns']",n79027139,34454091,,biography/Luis-de-Camoes,"['Portuguese (Q5146)', 'Spanish (Q1321)']","['+1524-12-00T00:00:00Z', '+1525-01-00T00:00:00Z']","['+1580-06-10T00:00:00Z', '+1580-00-00T00:00:00Z']",,,Kingdom of Portugal (Q45670),"['poet (Q49757)', 'playwright (Q214917)', 'writer (Q36180)', 'military personnel (Q47064)']",,,"['poetry (Q482)', 'drama (Q25372)']",Catholicism (Q1841),male (Q6581097),University of Coimbra (Q368643),,"['The Catholic Encyclopedia (Q302556)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Concise Literary Encyclopedia (Q4239850)', ""Library of the World's Best Literature (Q19098835)"", 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Great Soviet Encyclopedia (1926–1947) (Q20078554)', 'Armenian Soviet Encyclopedia, vol. 5 (Q124737632)']",
"Camus, Jean-Pierre Camus, Jean-Pierre, 1584",PERSON,Jean-Pierre Camus,Q2671778,French bishop and writer,human,['Camus'],"['no95056362', 'n50030983']",17220188,,,French (Q150),+1584-11-03T00:00:00Z,+1652-04-25T00:00:00Z,,,France (Q142),"['Catholic priest (Q250867)', 'novelist (Q6625963)', 'writer (Q36180)', 'Catholic bishop (Q611644)']",,diocesan bishop (Q1144278),,Catholic Church (Q9592),male (Q6581097),,,"['The Nuttall Encyclopædia (Q3181656)', 'The Catholic Encyclopedia (Q302556)']",
"Cardinal Bonaventure, Saint, circa 1217-1274",PERSON,Bonaventure Broderick,Q4941211,Catholic bishop (1868-1943),human,['Bonaventure Finnbarr Francis Broderick'],,,,,,+1868-12-25T00:00:00Z,+1943-11-18T00:00:00Z,,,,"['Catholic priest (Q250867)', 'Catholic bishop (Q611644)']",,"['titular bishop (Q948657)', 'auxiliary bishop (Q75178)']",,Catholic Church (Q9592),male (Q6581097),"St. Charles College, Maryland (Q7587507)",,,
"Cardinal Nicholas, of Cusa, 1401-1464",PERSON,Saint Nicholas,Q44269,4th-century Christian bishop and saint,human,"['Sanctus Nicolaus', 'Nicolau de Mira', 'São Nicolau de Mira', 'São Nicolau de Bari', 'Nikolaos de Mira', 'São Nicolau', 'São Nicolau, o Taumaturgo', 'Nicolau', 'Nicolau de Bari']",n50053594,"['172332216', '6179914', '11147965887784082678', '22150516596003440805', '1597145857019222921125']",,biography/Saint-Nicholas,,"['+0250-00-00T00:00:00Z', '+0250-00-00T00:00:00Z', '+0250-00-00T00:00:00Z', '+0270-00-00T00:00:00Z', '+0270-00-00T00:00:00Z', '+0270-03-15T00:00:00Z', '+0270-03-15T00:00:00Z', '+0280-00-00T00:00:00Z', '+0283-00-00T00:00:00Z', '+0350-00-00T00:00:00Z']","['+0350-00-00T00:00:00Z', '+0326-00-00T00:00:00Z', '+0350-00-00T00:00:00Z', '+0342-00-00T00:00:00Z', '+0343-00-00T00:00:00Z', '+0343-00-00T00:00:00Z', '+0343-12-06T00:00:00Z', '+0350-00-00T00:00:00Z', '+0345-12-06T00:00:00Z', '+0348-00-00T00:00:00Z', '+0350-00-00T00:00:00Z', '+0352-12-06T00:00:00Z']",,,Ancient Rome (Q1747689),"['presbyter (Q831474)', 'Catholic bishop (Q611644)']",,diocesan bishop (Q1144278),,"['Early Christianity (Q51644)', 'Nicene Christianity (Q2965829)']",male (Q6581097),,,"['Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'New Encyclopedic Dictionary (Q19190511)', 'Golden Legend (Q129493)', 'The Lives of the Fathers, Martyrs, and Other Principal Saints (Q42187591)', 'Encyclopedia Americana (Q753754)', 'St. Nicholas (Q99999720)', 'Metropolitan Museum of Art Tagging Vocabulary (Q106727050)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)', ""The New Student's Reference Work (Q16082057)"", 'Wikitólica (Q138600930)']",
"Carew Reynell, 1636-1690",PERSON,Carew Reynell (politician),Q5039080,"English courtier, soldier and politician",human,['Sir Carew Reynell'],,,77113.0,,,+1563-00-00T00:00:00Z,+1624-09-07T00:00:00Z,,,Kingdom of England (Q179876),politician (Q82955),,"['Member of Parliament in the Parliament of England (Q18018860)', 'Member of the 1593 Parliament (Q60586150)', 'Member of the 1601 Parliament (Q60586153)', 'Member of the 1614 Parliament (Q60586156)', 'Member of the 1621-22 Parliament (Q60586157)']",,,male (Q6581097),,,,
"Carlo Paschal, 1547-1625",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Carlo Rossetti, 1615-1681",PERSON,Carlo Rossetti (diplomat),Q5041598,Italian diplomat (1876-1948),human,,n88299005,31146824949507631101,,,Italian (Q652),+1876-01-01T00:00:00Z,+1948-01-01T00:00:00Z,,,"['Kingdom of Italy (Q172579)', 'Italy (Q38)']",diplomat (Q193391),,,,,male (Q6581097),,,,
"Carolus Scribanius, 1561-1629",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Carolus Sribanius, 1561-1629",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrington Carrington, S",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Cartolari Cartolari, Giovanni Battista",PERSON,Giovanni Battista Ceirano,Q721249,Italian businessman (1860–1912),human,,,,,,,+1860-10-01T00:00:00Z,+1912-09-24T00:00:00Z,,,Kingdom of Italy (Q172579),"['entrepreneur (Q131524)', 'engineer (Q81096)']",,,,,male (Q6581097),,,,
"Cartwright Cartwright, William",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Cary Cary, Walter",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
