page,text
230,"<p>167</p>

<p>or doctrine of Moses; and <i>unto the baptism of John</i> occurs in the same sense, Acts xix. 3. and <i>in the name of Jesus Christ for the remission of sins,</i> Acts ii. 38. and <i>into Jesus Christ</i> and <i>into his death,</i> Rom. vi. 3. and <i>into one body,</i> 1 Cor. xii. 13. To be baptized therefore <i>in their name,</i> is to be admitted to those benefits and gifts which we have received through the Son and the Holy Spirit. Hence Paul rejoiced that no one could say he had been baptized in his name, 1 Cor. i. 13–15. It was not the imputation of making himself God that he feared, but that of affecting greater authority than was suitable to his character. From all which it is clear that when we are baptized in the name of the Father, Son, and Holy Ghost, this is not done to impress upon our minds the inherent or relative natures of these three persons, but the benefits conferred by them in baptism on those who believe,—namely, that our eternal salvation is owing to the Father, our redemption to the Son, and our sanctification to the Spirit. The power of the Father is inherent in himself, that of the Son and the Spirit is received from the Father; for it has been already proved on the authority of the Son, that the Son does every thing in the name of the Father, and the Spirit every thing in the name of the Father and the Son; and a confirmation of the same truth may be derived from the words immediately preceding the verse under discussion; v. 18. <i>all power is given unto me......go ye therefore......baptizing in the name,</i> &c. and still more plainly by 1 Cor. vi. 11. <i>but ye are washed, but ye are sanctified, but ye are justified in the name of the Lord Jesus, and by the Spirit of our God.</i> Here the same three are mentioned as in baptism, <i>the Son, the Spirit,</i> and <i>our God</i>; it follows therefore that the Father alone is our God, of whom are both the Son and the Spirit.</p>

<p>But invocation is made to the Spirit. 2 Cor. xiii. 14. <i>the grace of the Lord Jesus Christ, and the love of God, and the communion of the Holy Ghost, be with you all.</i> This, however, is not so much an invocation as a benediction, in which the Spirit is not addressed as a person, but sought as a gift from him who alone is there called God, namely, the Father, from whom Christ himself directs us to seek the communication</p>"
231,"<p>of the Spirit, Luke xi. 13. If the Spirit were ever to be invoked personally, it would be then especially, when we pray for him; yet we are commanded not to ask him of himself, but only of the Father. Why do we not call upon the Spirit himself, if he be God, to give himself to us? He who is sought from the Father, and given by him, not by himself, can neither be God, nor an object of invocation. The same form of benediction occurs Gen. xlviii. 15, 16. <i>the God before whom my fathers did walk ……the angel which redeemed me from all evil, bless the lads:</i> and Rev. i. 4. <i>grace be unto you and peace from him which is……and from the seven spirits.</i> It is clear that in this passage the seven spirits, of whom more will be said hereafter, are not meant to be invoked. Besides that in this benediction the order or dignity of the things signified should be considered, rather than that of the persons; for it is by the Son that we come to the Father, from whom finally the Holy Spirit is sent. So 1 Cor. xii. 4–6. <i>there are diversities of gifts, but the same Spirit: and there are differences of administrations, but the same Lord: and there are diversities of operations, but it is the same God which worketh all in all.</i> Here the three are again mentioned in an inverse order; but it is one God which worketh all in all, even in the Son and the Spirit, as we are taught throughout the whole of Scripture.</p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;Hence it appears that what is said Matt. xii. 31, 32. has no reference to the personality of the Holy Spirit. For if to sin against the Holy Spirit were worse than to sin against the Father and Son, and if that alone were an unpardonable sin, the Spirit truly would be greater than the Father and the Son. The words must therefore apply to that illumination, which, as it is highest in degree, so it is last in order of time, whereby the Father enlightens us through the Spirit, and which if any one resist, no method of salvation remains open to him. I am inclined to believe, however, that it is the Father himself who is here called the Holy Spirit, by whose <i>Spirit,</i> v. 28. or <i>finger,</i> Luke xi. 20. Christ professed to cast out devils; when therefore the Pharisees accused him falsely of acting in concert with Beelzebub, they are declared to sin unpardonably, because they said of him who had the Spirit of his Father, <i>he hath an</i></p>"
232,"<h1>169</h1>

<p><i>unclean spirit,</i> Mark iii. 30. Besides, it was to the Pharisees that he spoke thus, who acknowledged no other Spirit than the Father himself. If this be the true interpretation of the passage, which will not be doubted by any one who examines the whole context from v. 24 to v. 32. that dreaded sin against the Holy Spirit will be in reality a sin against the Father, who is the Spirit of holiness; of which he would be guilty, who should affirm that the Spirit of the Father which was working in Christ was the prince of the devils, or an unclean spirit;—as Mark clearly shows in the passage quoted above.</p>

<p>But the Spirit bestows grace and blessing upon the churches in conjunction with the Father and the Son; Rev. i. 4, 5. <i>grace be unto you and peace from him which is……and from the seven spirits which are before his throne, and from Jesus Christ.</i> It is clear, however, that the Holy Spirit is not here meant to be implied; the number of the spirits is inconsistent with such a supposition, as well as the place which they are said to occupy, standing like angels before the throne. See also iv. 5. and v. 6. where the same spirits are called <i>seven lamps of fire burning before the throne,</i> and the <i>seven horns</i> and <i>seven eyes</i> of the Lamb. Those who reduce these spirits to one Holy Spirit, and consider them as synonymous with his sevenfold grace, (an opinion which is deservedly refuted by Beza<sup>r</sup>) ought to beware, lest, by attributing to mere virtues the properties of persons, they furnish arguments to those commentators who interpret the</p>"
233,"<p>Holy Spirit as nothing more than the virtue and power of the Father.<sup>8</sup> This may suffice to convince us, that in this kind of threefold enumerations the sacred writers have no view whatever to the doctrine of three divine persons, or to the equality or order of those persons;—not even in that verse which has been mentioned above, and on which commentators in general lay so much stress, 1 John v. 7. <i>there are three that bear record in heaven, the Father, the Word, and the Holy Ghost, and these three are one,</i> where there is in reality nothing which implies either divinity or unity of essence. As to divinity, God is not the only one who is said to bear record in heaven; 1 Tim. v. 21. <i>I charge thee before God, and the Lord Jesus Christ, and the elect angels,</i>—where it might have been expected that the Holy Spirit would have been named in the third place, if such ternary forms of expression really contained the meaning which is commonly ascribed to them. What kind of unity is intended, is sufficiently plain from the next verse, in which <i>the spirit, the water, and the blood</i> are mentioned, which <i>are to bear record to one,</i> or <i>to that one thing.</i> Beza himself, who is generally a staunch defender of the Trinity, understands the phrase <i>unum sunt</i> to mean, <i>agree in one.</i><sup>9</sup> What it is that they testify, appears in the fifth and sixth verses—namely, that <i>he that overcometh the world is he that believeth that Jesus is the Son of God, even Jesus Christ,</i> that is, <i>the anointed;</i> therefore he is not one with, nor equal to, him that anointed him. Thus the very record that they bear is inconsistent with the essential unity of the witnesses, which is attempted to be deduced from the passage. For the Word is both the Son and Christ, that is, as has been said, <i>the anointed;</i> and as he is the image, as it were, by which we see God, so is he the word by which we hear him. But if such be his nature, he cannot be essentially one with God, whom no one can see or hear. The same has been already proved, by other</p>"
234,BadRequestError
235,"<h2>CHAP. VII.</h2>

<h3>Of the</h3>

<h3>Creation.</h3>

<p>T<small>HE</small> second species of external efficiency is commonly called C<small>REATION</small>. As to the actions of God before the foundation of the world, it would be the height of folly to inquire into them, and almost equally so to attempt a solution of the question.<sup>1</sup> With regard to the account which is generally given from 1 Cor. ii. 7. <i>he ordained his wisdom in a mystery, even the hidden mystery which God ordained before the world,</i>—or, as it is explained, that he was occupied with election and reprobation, and with decreeing other things relative to these subjects,—it is not imaginable that God should have been wholly occupied from eternity in decreeing that which was to be created in a period of six days, and which, after having been governed in divers manners for a few thousand years, was finally to be received into an immutable state with himself, or to be rejected from his presence for all eternity.</p>

<p>That the world was created, is an article of faith: Heb. xi. 3. <i>through faith we understand that the worlds were framed by the word of God.</i></p>"
236,"<p>173</p>

<p><strong>C<small>REATION</small> is that act whereby G<small>OD</small> <small>THE</small> F<small>ATHER</small> <small>PRODUCED</small> <small>EVERY</small> <small>THING</small> <small>THAT</small> <small>EXISTS</small> <small>BY</small> <small>HIS</small> W<small>ORD</small> <small>AND</small> S<small>PIRIT</small>, that is, <small>BY</small> <small>HIS</small> <small>WILL</small>, <small>FOR</small> <small>THE</small> <small>MANIFESTATION</small> <small>OF</small> <small>THE</small> <small>GLORY</small> <small>OF</small> <small>HIS</small> <small>POWER</small> <small>AND</small> <small>GOODNESS</small>.</strong></p>

<p>W<small>HEREBY</small> G<small>OD</small> <small>THE</small> F<small>ATHER</small>. Job ix. 8. <i>which alone spreadeth out the heavens.</i> Isai. xliv. 24. <i>I am Jehovah that maketh all things; that stretcheth forth the heavens alone; that spreadeth abroad the earth by myself.</i> xlv. 6, 7. <i>that they may know from the rising of the sun, and from the west, that there is none beside me: I am Jehovah, and there is none else: I form the light, and create darkness.</i> If there be any thing like a common meaning, or universally received usage of words, this language not only precludes the possibility of there being any other God, but also of there being any co-equal person, of any kind whatever. Neh. ix. 6. <i>thou art Jehovah alone; thou hast made heaven, the heaven of heavens.</i> Mal. ii. 10. <i>have we not all one Father? hath not one God created us?</i> Hence Christ himself says, Matt. xi. 25. <i>I thank thee, O Father, Lord of heaven and earth.</i> So too all the apostles, Acts iv. 24. compared with v. 27. <i>Lord, thou art God, which hast made heaven and earth, and the sea, and all that in them is</i> .... <i>the kings of the earth stood up</i> .... <i>against thy holy child Jesus.</i> Rom. xi. 36. <i>for of him, and through him, and to him are all things.</i> 1 Cor. viii. 6. <i>to us there is but one God, the Father, of whom are all things.</i> 2 Cor. iv. 6. <i>for God who commanded the light to shine out of darkness, hath shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.</i> Heb. ii. 10. <i>him, for whom are all things, and by whom are all things.</i> iii. 4. <i>he that built all things is God.</i></p>

<p>B<small>Y</small> <small>HIS</small> <small>WORD</small>. Gen. i. throughout the whole chapter—<i>God said.</i> Psal. xxxiii. 6. <i>by the word of Jehovah were the heavens made.</i> v. 9. <i>for he spake, and it was done.</i> cxlviii. 5. <i>he commanded, and they were created.</i> 2 Pet. iii. 5. <i>by the word of God the heavens were of old,</i>—that is, as is evident from other passages, by the Son, who appears hence to derive his title of Word. John i. 3, 10. <i>all things were made by him: by him the world was made.</i> 1 Cor. viii. 6. <i>to us there is but one God, the Father,"
237,"<p>174</p>

<p><i>of whom are all things, and we in him; and one Lord Jesus Christ, by whom are all things.</i> Eph. iii. 9. <i>who created all things by Jesus Christ.</i> Col. i. 16. <i>by him were all things created.</i> Heb. i. 2. <i>by whom also he made the worlds;</i> whence it is said, v. 10. <i>thou hast laid the foundation of the earth.</i> The preposition <i>per</i> sometimes signifies the primary cause, as Matt. xii. 28. <i>I cast out devils</i> (per Spiritum) <i>by the Spirit of God.</i> 1 Cor. i. 9. <i>God is faithful,</i> (per quem) <i>by whom ye are called,</i>—sometimes the instrumental, or less principal cause, as in the passages quoted above, where it cannot be taken as the primary cause, for if so, the Father himself, of whom are all things, would not be the primary cause; nor is it the joint cause, for in such case it would have been said that the Father created all things, not by, but with the Word and Spirit; or collectively, the Father, the Word, and the Spirit created; which phrases are nowhere to be found in Scripture. Besides, the expressions <i>to be of the Father,</i> and <i>to be by the Son,</i> do not denote the same kind of efficient cause. If it be not the same cause, neither is it a joint cause; and if not a joint cause, certainly the Father, of whom are all things, must be the principal cause, rather than the Son by whom are all things; for the Father is not only he <i>of</i> whom, but also from whom, and for whom, and through whom, and on account of whom are all things, as has been proved above, inasmuch as he comprehends within himself all lesser causes; whereas the Son is only he by whom are all things;² wherefore he is the less principal cause. Hence it is often said that the Father created the world by the Son,³—but never, in the same sense, that the Son created the world by the Father. It is however sometimes attempted to be proved from Rev. iii. 14. that the Son was the joint, or event he prin-</p>"
238,"<html>
<p>cipal cause of the creation with the Father; <i>the beginning of the creation of God;</i> where the word <i>beginning</i> is interpreted in an active sense, on the authority of Aristotle.<sup>4</sup> But in the first place, the Hebrew language, whence the expression is taken, nowhere admits of this sense, but rather requires a contrary usage, as Gen. xlix. 3. <i>Reuben, thou art .... the beginning of my strength.</i> Secondly, there are two passages in St. Paul referring to Christ himself, which clearly prove that the word <i>beginning</i> is here used in a passive signification. Col. i. 15, 18. <i>the first born of every creature,...the beginning, the first born from the dead,</i>—where the position of the Greek accent,<sup>5</sup> and the passive verbal <i>πρωτότοκος,</i> show that the Son of God was the first born of every creature precisely in the same sense as the Son of man was the first born of Mary, <i>πρωτότοκος,</i> Matt. i. 25. The other passage is Rom. viii. 29. <i>first born among many brethren;</i> that is, in a passive signification. Lastly, it should be remarked, that he is not called simply <i>the beginning of the creation,</i> but <i>of the creation of God;</i> which can mean nothing else than the first of those things which God created; how therefore can he be himself God? Nor can we admit the reason devised by some of the Fathers<sup>6</sup> for his being called, Col. i. 15. <i>the first born of every creature,</i>—namely, because it is said v. 16. <i>by him all things were created.</i> For had St. Paul intended to convey the meaning supposed, he would have said, <i>who was before every creature,</i> (which is what these Fathers contend the words signify, though not without violence to the language) not, <i>who was the first born of every creature,</i> an expression which clearly has a superlative, and at the same time to a certain extent partitive sense, in so far as production may be considered as a kind of generation and creation; but</p>
</html>"
239,"<p>by no means in so far as the title of first born among men may be here applied to Christ, seeing that he is termed first born, not only in respect of dignity, but also of time. v. 16. <i>for by him were all things created that are in heaven.</i></p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;Nor is the passage in Prov. viii. 22, 23. of more weight, even if it be admitted that the chapter in general is to be understood with reference to Christ: <i>Jehovah possessed me in the beginning of his way before his works of old: I was set up from everlasting.</i><sup>7</sup> For that which was <i>possessed</i> and <i>set up,</i> could not be the primary cause. Even a creature, however, is called the beginning of the ways of God, Job xl. 19. <i>he (behemoth) is the chief</i> (principium) <i>of the ways of God.</i> As to the eighth chapter of Proverbs, it appears to me that it is not the Son of God who is there introduced as the speaker, but a poetical personification of wisdom, as in Job xxviii. 20—27. <i>whence then cometh wisdom?—then did he see it.</i></p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;Another argument is brought from Isai. xlv. 12, 23. <i>I have made the earth....unto me every knee shall bow.</i> It is contended that this is spoken of Christ, on the authority of St. Paul, Rom. xiv. 10, 11. <i>we shall all stand before the judgement seat of Christ: for it is written, As I live, saith the Lord, every knee shall bow to me.</i> But it is evident from the parallel passage Philipp. ii. 9—11. that this is said of God the Father, by whose gift the Son has received that judgement seat, and all judgement, <i>that at the name of Jesus every knee should bow....to the glory of God the Father;</i> or, which means the same thing, <i>every tongue shall confess to God.</i></p>

<p>And Spirit. Gen. i. 2. <i>the Spirit of God moved upon the face of the waters;</i><sup>8</sup> that is, his divine power, rather than any person, as has</p>"
240,"<p>177</p>

<p>been already shown in the sixth chapter, on the Holy Spirit. For if it were a person, why is the Spirit named, to the exclusion of the Son, by whom we so often read that the world was created? unless indeed that Spirit were Christ, to whom, as has been before proved, the name of Spirit is sometimes given in the Old Testament. However this may be, and even if it should be admitted to have been a person, it seems at all events to have been only a subordinate minister: God is first described as creating the heaven and the earth; the Spirit is only represented as moving upon the face of the waters already created. So Job xxvi. 13. <i>by his Spirit he hath garnished the heavens.</i> Psal. xxxiii. 6. <i>by the word of Jehovah were the heavens made, and all the host of them by the breath</i> (spiritu) <i>of his mouth.</i> Now the person of the Spirit does not seem to have proceeded more from the mouth of God than from that of Christ, who <i>shall consume that wicked one with the spirit of his mouth,</i> 2 Thess. ii. 8. compared with Isai. xi. 4. <i>the rod of his mouth.</i></p>

<p><small>By his will.</small> Psal. cxxxv. 6. <i>whatsoever Jehovah pleased, that did he in heaven and earth.</i> Rev. iv. 11. <i>for thy pleasure they are and were created.</i></p>

<p><small>For the manifestation of the glory of his power and goodness.</small> Gen. i. 31. <i>God saw every thing that he had made, and behold, it was very good.</i> See also 1 Tim. iv. 4. Psal. xix. 1. <i>the heavens declare the glory of God.</i> Prov. xvi. 4. <i>Jehovah hath made all things for himself.</i> Acts xiv. 15. <i>that ye should turn from these vanities unto the living God which made heaven and earth and the sea, and all things that are therein.</i> xvii. 24. <i>God that made the world and all things therein.</i> Rom. i. 20. <i>for his eternal power and Godhead are clearly seen.</i></p>"
241,"<html>

<p>Thus far it has appeared that God the Father is the primary and efficient cause of all things. With regard to the original matter of the universe, however, there has been much difference of opinion.<sup>9</sup> Most of the moderns contend that it was formed from nothing, a basis as unsubstantial as that of their own theory.<sup>1</sup> In the first place, it is certain that neither the Hebrew verb בָּרָא, nor the Greek <i>κτίζειν</i>, nor the Latin <i>creare</i>, can signify to create out of nothing.<sup>2</sup> On the contrary, these words uniformly signify to create out of matter. Gen. i. 21, 27. <i>God created....every living creature which the waters brought forth abundantly....male and female created he them.</i> Isai. liv. 16. <i>behold, I have created the smith....I have created the waster to destroy.</i> To allege, therefore, that creation signifies production out of nothing, is, as logicians say, to lay down premises without a proof; for the passages of Scripture commonly quoted for this purpose, are so far from confirming the received opinion, that they rather imply the contrary, namely, that all things were not made out of nothing. 2 Cor. iv. 6. <i>God, who commanded the light to shine out of darkness.</i> That this darkness was</p>

</html>"
242,"<html>
<p>179</p>

<p>far from being a mere negation, is clear from Isai. xlv. 7. <i>I am Jehovah; I form the light, and create darkness.</i> If the darkness be nothing, God in creating darkness created nothing, or in other words, he created and did not create, which is a contradiction. Again, what we are required <i>to understand through faith</i> respecting <i>the worlds,</i> is merely this, that <i>the things which were seen were not made of things which do appear,</i> Heb. xi. 3. Now <i>the things which do not appear</i> are not to be considered as synonymous with nothing, (for nothing does not admit of a plural, nor can a thing be made and compacted together out of nothing, as out of a number of things)<sup>3</sup> but the meaning is, that they do not appear as they now are. The apocryphal writers, whose authority may be considered as next to that of the Scriptures, speak to the same effect. Wisd. xi. 17. <i>thy almighty hand that made the world of matter without form.</i> 2 Macc. vii. 28. <i>God made the earth and all that is therein of things that were not.</i> The expression in Matt. ii. 18. may be quoted, <i>the children of Rachel are not.</i> This, however, does not mean properly that they are nothing, but that (according to a common Hebraism) they are no longer amongst the living.</p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;It is clear then that the world was framed out of matter of some kind or other. For since action and passion are relative terms, and since, consequently, no agent can act externally, unless there be some patient, such as matter, it appears impossible that God could have created this world out of nothing; not from any defect of power on his part, but because it was necessary that something should have previously existed capable of receiving passively the exertion of the divine efficacy. Since, therefore, both Scripture and reason concur in pronouncing that all these things were made, not out of nothing, but out of matter, it necessarily follows, that matter must either have always existed independently of God, or have originated from</p>
</html>"
243,"<html>
<p>180</p>

<p>God at some particular point of time. That matter should have been always independent of God, (seeing that it is only a passive principle, dependent on the Deity, and subservient to him; and seeing, moreover, that, as in number, considered abstractedly, so also in time or eternity there is no inherent force or efficacy) that matter, I say, should have existed of itself from all eternity, is inconceivable. If on the contrary it did not exist from all eternity, it is difficult to understand from whence it derives its origin. There remains, therefore, but one solution of the difficulty, for which moreover we have the authority of Scripture, namely, that all things are of God.<sup>4</sup> Rom. xi. 36. <i>for of him, and through him, and to him are all things.</i> 1 Cor. viii. 6. <i>there is but one God, the Father, of whom are all things:</i> where the same Greek preposition is used in both cases. Heb. ii. 11. <i>for both he that sanctifieth, and they who are sanctified, are all of one.</i></p>

<p>In the first place, there are, as is well known to all, four kinds of causes,—<i>efficient, material, formal,</i> and <i>final.</i><sup>5</sup> Inasmuch then as God is the primary, and absolute, and sole cause of all things, there can be no doubt but that he comprehends and embraces within himself all the causes above-mentioned. Therefore the material cause must be either God, or nothing. Now nothing is no cause at all; and yet it is con-</p>
</html>"
244,"<html>
<p>tended that forms, and above all, that human forms, were created out of nothing. But matter and form, considered as internal causes, constitute the thing itself; so that either all things must have had two causes only, and those external, or God will not have been the perfect and absolute cause of every thing. Secondly, it is an argument of supreme power and goodness, that such diversified, multiform, and inexhaustible virtue should exist and be <i>substantially</i> inherent in God (for that virtue cannot be <i>accidental</i> which admits of degrees, and of augmentation or remission, according to his pleasure) and that this diversified and substantial virtue should not remain dormant within the Deity, but should be diffused and propagated and extended as far and in such manner as he himself may will. For the original matter of which we speak, is not to be looked upon as an evil or trivial thing, but as intrinsically good, and the chief productive stock<sup>6</sup> of every subsequent good. It was a substance, and derivable from no other source than from the fountain of every substance, though at first confused and formless, being afterwards adorned and digested into order by the hand of God.<sup>7</sup></p>

<p>Those who are dissatisfied because, according to this view, substance</p>
</html>"
245,BadRequestError
246,"<p>183</p>

<p>the corporeal, that is, the sentient and vegetative faculty.<sup>9</sup> For not even divine virtue and efficiency could produce bodies out of nothing, according to the commonly received opinion, unless there had been some bodily power in the substance of God; since no one can give to another what he does not himself possess. Nor did St. Paul hesitate to attribute to God something corporeal; Col. ii. 9. <i>in him dwelleth all the fulness of the Godhead bodily.</i> Neither is it more incredible that a bodily power should issue from a spiritual substance, than that what is spiritual should arise from body; which nevertheless we believe will be the case with our own bodies at the resurrection. Nor, lastly, can it be understood in what sense God can properly be called infinite, if he be capable of receiving any accession whatever; which would be the case if anything could exist in the nature of things, which had not first been of God and in God.</p>

<p>Since therefore it has (as I conceive) been satisfactorily proved, under the guidance of Scripture, that God did not produce everything out of nothing, but of himself, I proceed to consider the necessary consequence of this doctrine, namely, that if all things are not only from God, but of God, no created thing can be finally annihilated. And, not to mention that not a word is said of this annihilation in the sacred writings, there are other reasons, besides that which has been just alleged, and which is the strongest of all, why this doctrine should be altogether exploded. First, because God is neither willing, nor, properly speaking, able to annihilate anything altogether. He is not</p>"
247,"<p>willing, because he does everything with a view to some end,—but nothing can be the end neither of God, nor of anything whatever. Not of God, because he is himself the end of himself; not of anything whatever, because good of some kind is the end of everything. Now nothing is neither good, nor in fact anything. Entity is good, non-entity consequently is not good; wherefore it is neither consistent with the goodness or wisdom of God to make out of entity, which is good, that which is not good, or nothing. Again, God is not able to annihilate anything altogether, because by creating nothing he would create and not create at the same time, which involves a contradiction. If it be said that the creative power of God continues to operate, inasmuch as he makes that not to exist which did exist; I answer, that there are two things necessary to constitute a perfect action, motion and the effect of motion: in the present instance the motion is the act of annihilation; the effect of motion is none, that is, nothing, no effect. Where then there is no effect there is no efficient.</p>

<p>Creation is either of things invisible or visible.</p>

<p>The things invisible, or which are at least such to us, are, the highest heaven, which is the throne and habitation of God, and the heavenly powers, or angels.</p>

<p>Such is the division of the apostle, Col. i. 16. The first place is due to things invisible, if not in respect of origin, at least of dignity. For the highest heaven is as it were the supreme citadel and habitation of God. See Deut. xxvi. 15. 1 Kings viii. 27, 30, <i>heaven of heavens.</i> Neh. ix. 6. Isai. lxiii. 15. <i>far above all heavens,</i> Eph. iv. 10. where God <i>dwelleth in the light which no man can approach unto,</i> 1 Tim. vi. 16.<sup>1</sup> Out of this light it appears that pleasures and glories, and a kind of perpetual heaven, have emanated</p>"
248,BadRequestError
249,"<p>186</p>

<p>which is within our sight. For since it was of the latter heaven alone, and of the visible world, that Moses undertook to write, it would have been foreign to his purpose to have said anything of what was above the world.</p>

<p>In this highest heaven seems to be situated the heaven of the blessed; which is sometimes called Paradise, Luke xxiii. 43. 2 Cor. xii. 2, 4. and Abraham's bosom, Luke xvi. 22. compared with Matt. viii. 11. where also God permits himself to be seen by the angels and saints (as far as they are capable of enduring his glory), and will unfold himself still more fully to their view at the end of the world, 1 Cor. xiii. 12. John xiv. 2, 3. <i>in my Father's house are many mansions.</i> Heb. xi. 10, 16. <i>he looked for a city which hath foundations ..... they desire a better country, that is, an heavenly ..... for he hath prepared for them a city.</i></p>

<p>It is generally supposed that the angels were created at the same time with the visible universe, and that they are to be considered as comprehended under the general name of <i>heavens.</i> That the angels were created at some particular period, we have the testimony of Numb. xvi. 22. and xxvii. 16. <i>God of the spirits,</i> Heb. i. 7. Col. i. 16. <i>by him were all things created ...... visible and invisible, whether they be thrones,</i> &amp;c.<sup>3</sup> But that</p>"
250,"<p>they were created on the first, or on any one of the six days, seems to be asserted (like most received opinions) with more confidence than reason, chiefly on the authority of the repetition in Gen. ii. 1. <i>thus the heavens and the earth were finished, and all the host of them,</i>—unless we are to suppose that more was meant to be implied in the concluding summary than in the previous narration itself, and that the angels are to be considered as the host who inhabit the visible heavens. For what is said Job xxxviii. 7. that they shouted for joy before God at the creation, proves rather that they were then already in existence, than that they were then first created. Many at least of the Greek, and some of the Latin Fathers, are of opinion that angels, as being spirits, must have existed long before the material world;<sup>4</sup> and it seems even probable, that the apostasy which caused the expulsion of so many thousands from heaven, took place before the foundations of this world were laid. Certainly there is no sufficient foundation for the common opinion, that motion and time (which is the measure of motion) could not, according to the ratio of priority and subsequence, have existed before this world was made; since Aristotle, who teaches that no ideas of motion and time can be formed except in reference to this world, nevertheless pronounces the world itself to be eternal.<sup>5</sup></p>"
251,"<p>188</p>

<p>Angels are spirits, Matt. viii. 16. and xii. 45. inasmuch as a legion of devils is represented as having taken possession of one man, Luke viii. 30. Heb. i. 14. <i>ministering spirits.</i> They are of ethereal nature,<sup>6</sup> 1 Kings xxii. 21. Psal. civ. 4. compared with Matt. viii. 31. Heb. i. 7. <i>as lightning,</i> Luke x. 18. whence also they are called Seraphim. Immortal, Luke xx. 36. <i>neither can they die any more.</i> Excellent in wisdom; 2 Sam. xiv. 20. Most powerful in strength; Psal. ciii. 20. 2 Pet. ii. 11. 2 Kings xix. 35. 2 Thess. i. 7. Endued with the greatest swiftness, which is figuratively denoted by the attribute of wings;<sup>7</sup> Ezek. i. 6. In number almost infinite; Deut. xxxiii. 2. Job xxv. 3. Dan. vii. 10. Matt. xxvi. 53. Heb. xii. 22. Rev. v. 11, 12. Created in perfect holiness and righteousness; Luke ix. 26. John viii. 44. 2 Cor. xi. 14, 15. <i>angels of light</i> ...... <i>ministers of righteousness.</i> Matt. vi. 10. <i>thy will be done in earth as it is in heaven.</i> xxv. 31. <i>holy angels.</i> Hence they are also called sons of God,<sup>8</sup> Job i. 6. and xxxviii. 7. Dan. iii. 25. compared with v. 28. and even Gods, Psal. viii. 5. xcvii. 7. But they are not to be compared with God; Job iv. 18. <i>his angels he charged with folly.</i> xv. 15. <i>the heavens are not clean in his sight.</i> xxv. 5. <i>yea, the stars are not pure in his sight.</i> Isai. vi. 2. <i>with two wings he covered his face.</i><sup>9</sup> They are distinguished one from another by offices and degrees;<sup>1</sup> Matt. xxv. 41.</p>"
252,"<p>Rom. viii. 38. Col. i. 16. Eph. i. 21. and iii. 10. 1 Pet. iii. 22. Rev. xii. 7. Cherubim, Gen. iii. 24. Seraphim, Isai. vi. 2. and by proper names; Dan. viii. 16. ix. 21. x. 13. Luke i. 19. Michael, Jude 9. Rev. xii. 7. 1 Thess. iv. 16. <i>with the voice of the Archangel.</i> Josh. v. 14. See more on this subject in the ninth chapter. To push our speculations further on this subject, is to incur the apostle's reprehension, Col. ii. 18. <i>intruding into those things which he hath not seen, vainly puffed up by his fleshly mind.</i></p>

<p>T<span style=""font-variant: small-caps"">he visible creation</span> comprises the material universe, and all that is contained therein; and more especially the human race.</p>

<p>The creation of the world in general, and of its individual parts, is related Gen. i. It is also described Job xxvi. 7, &c. and xxxviii. and in various passages of the Psalms and Prophets. Psal. xxxiii. 6—9. civ. cxlviii. 5. Prov. viii. 26, &c. Amos iv. 13. 2 Pet. iii. 5. Previously, how­ever, to the creation of man, as if to intimate the superior importance of the work, the Deity speaks like to a man deliberating:² Gen. i. 26. <i>God said, Let us make man in our own image, after our own likeness.</i> So that it was not the body alone that was then made, but the soul of man also (in which our likeness to God principally consists); which precludes us from attributing pre-existence to the soul which was then formed,—a groundless notion sometimes entertained, but refuted by Gen. ii. 7. <i>God formed man of the dust of the ground, and breathed into his nostrils the breath of life; thus man became a living soul.</i> Job xxxii. 8. <i>there is a spirit in man, and the inspiration of the Almighty giveth them understanding.</i> Nor did God merely breathe that spirit into man,³ but moulded it in each individual, and infused it throughout, enduing and embellishing it with its proper faculties. Zech. xii. 1. <i>he formeth the spirit of man within him.</i></p>

<p>We may understand from other passages of Scripture, that when</p>"
